GKODE,GKODN
2630482.69,1185208.474
2631952.901,1218143.928
2612570.244,1181887.087
2632726.688,1170157.749
2631213.484,1186811.796
2622601.545,1172239.923
2615241.527,1178797.919
2592410.537,1218510.967
2611221.668,1215586.585
2618153.699,1149797.334
2634019.676,1168965.451
2606656.968,1200943.61
2582165.011,1212794.698
2608179.16,1196487.827
2599959.467,1193914.266
2601805.492,1198967.614
2600724.752,1198452.616
2604754.0,1208323.0
2622969.619,1208350.382
2634768.183,1172500.804
2586622.932,1220416.749
2614782.098,1173791.706
2561152.584,1219579.711
2619168.996,1235657.589
2613774.156,1212823.447
2630662.469,1170290.733
2588966.069,1148072.422
2611012.922,1151392.129
2616905.196,1176129.435
2587709.201,1201325.693
2620136.399,1188958.571
2617097.506,1171398.915
2586393.769,1199357.927
2626569.923,1213626.659
2599047.023,1198971.253
2599817.084,1200253.166
2636299.684,1174348.051
2614401.672,1219429.729
2586617.167,1221851.251
2570940.942,1207075.446
2613990.101,1212502.336
2605642.083,1161645.452
2612473.16,1148813.049
2599498.632,1197524.759
2618976.376,1178269.359
2620500.186,1216892.45
2622712.317,1167596.879
2617302.266,1175703.518
2602892.24,1214483.821
2621007.255,1174073.022
2633474.173,1175200.193
2621973.185,1173501.207
2606506.86,1193194.079
2582998.152,1223198.389
2615424.934,1181265.328
2628986.603,1172382.86
2601443.384,1208354.513
2622684.52,1222581.654
2618221.544,1171186.851
2611977.689,1182753.174
2599592.158,1144236.334
2619006.713,1235563.721
2616361.339,1158827.329
2615451.709,1177280.956
2579720.0,1232130.0
2624036.61,1229872.856
2609009.764,1219366.729
2602457.077,1198445.233
2605201.207,1180088.032
2622835.319,1171771.792
2610857.141,1212996.01
2597732.869,1204117.55
2579240.813,1227584.114
2614819.909,1179108.111
2625088.252,1157226.286
2590495.0,1205139.0
2590579.893,1175034.505
2617703.502,1202259.679
2619565.22,1235027.181
2609842.634,1192993.622
2603822.094,1198122.575
2586581.114,1222104.166
2585922.074,1218248.067
2586428.176,1202421.501
2599163.67,1205785.977
2592375.377,1231937.389
2617733.193,1175444.729
2608689.46,1147161.658
2612705.452,1151584.012
2591577.062,1216736.773
2631205.58,1218494.89
2595894.199,1180471.536
2586910.88,1139088.703
2610229.119,1180522.108
2616587.913,1231637.843
2572639.783,1208623.194
2594274.758,1221170.089
2604021.754,1194026.642
2601259.02,1143925.57
2595643.334,1236765.83
2586242.969,1220371.301
2605597.497,1183037.336
2588261.466,1219309.94
2586727.75,1220859.306
2610936.462,1212711.855
2589513.229,1214006.733
2591746.518,1212825.238
2603952.881,1190187.791
2656868.152,1175692.232
2589662.0,1145598.0
2623883.356,1228290.03
2647026.359,1178569.465
2593550.306,1212521.09
2645049.042,1178382.701
2584916.766,1195341.097
2603910.524,1200464.726
2604574.893,1196200.944
2629754.804,1217145.298
2605266.734,1179333.12
2626110.459,1198750.219
2614140.084,1175749.408
2647423.214,1177383.263
2603028.177,1202645.683
2644124.207,1164696.863
2605421.09,1198450.834
2607829.449,1210677.68
2618489.187,1231431.026
2617459.555,1157075.165
2587698.971,1219037.365
2626910.48,1229363.361
2604994.636,1198132.738
2625990.812,1228409.414
2613786.024,1178328.148
2649026.432,1176354.774
2581454.276,1229926.15
2619814.232,1174878.779
2604580.937,1198157.158
2627938.286,1215787.057
2622271.391,1216138.774
2647872.315,1164574.657
2594286.331,1192001.182
2610735.078,1213065.796
2658981.301,1177807.801
2616478.005,1232436.161
2619974.105,1164998.465
2616802.128,1172433.894
2595592.061,1198790.619
2619967.532,1226754.676
2616763.127,1176623.168
2608651.845,1191262.012
2590458.044,1177061.658
2590698.282,1203482.247
2609051.354,1163510.757
2603754.747,1201683.153
2631076.3,1203066.421
2584494.409,1218204.738
2618898.814,1224968.736
2631648.417,1210506.997
2598133.522,1202426.287
2610619.154,1151645.524
2595176.192,1161434.436
2618966.409,1181524.179
2594222.629,1209568.62
2628286.43,1234176.03
2610115.101,1215938.546
2591316.99,1221825.564
2587021.596,1231639.149
2656858.985,1175576.004
2599567.314,1197165.908
2601675.902,1142091.267
2608989.451,1219814.737
2622845.699,1182118.808
2582050.037,1213127.184
2588451.054,1219229.927
2617178.244,1179067.212
2605643.919,1197472.825
2604693.846,1202587.604
2609056.833,1209165.188
2618671.718,1235357.464
2618514.236,1170414.586
2601991.102,1204786.283
2604179.198,1197468.346
2595699.537,1209958.549
2618283.942,1196645.393
2620458.231,1224610.368
2618165.724,1182925.792
2598275.365,1178739.378
2634915.417,1173217.143
2594333.227,1220900.42
2627300.782,1223573.094
2613691.61,1211536.754
2591510.365,1222382.393
2613836.132,1210156.053
2602959.281,1197358.034
2619403.163,1209966.639
2633002.585,1169469.361
2625634.768,1166925.697
2604091.759,1191415.965
2607664.223,1189265.191
2659717.921,1178584.09
2605575.95,1197802.085
2619113.627,1215802.41
2618113.795,1170675.976
2645761.77,1174357.523
2601695.224,1196910.792
2625722.261,1216491.21
2578817.765,1216071.434
2622298.361,1185562.817
2628453.669,1234028.415
2615908.186,1159729.881
2600276.996,1199727.595
2614350.328,1209113.375
2657148.96,1175239.067
2614060.591,1178444.446
2600557.818,1198351.206
2646875.524,1177294.09
2622553.0,1227621.0
2588135.791,1226124.342
2632507.467,1170375.928
2614329.129,1178216.824
2613865.552,1212736.318
2587672.695,1232241.413
2592789.775,1193684.113
2594604.782,1206517.485
2581710.681,1213626.102
2613848.944,1212091.842
2613510.106,1211769.218
2600135.739,1185639.351
2618051.7,1216850.566
2619005.165,1210620.795
2589693.453,1149274.687
2615885.196,1233942.863
2640613.599,1176957.866
2584282.763,1231470.114
2630899.665,1170434.002
2611695.222,1176470.346
2609226.771,1222328.939
2577406.747,1218333.355
2581576.43,1230128.449
2632925.703,1221844.801
2611424.811,1151210.535
2622312.469,1195805.696
2607419.988,1202606.36
2601096.791,1199129.808
2567255.677,1222661.315
2602415.442,1211173.68
2610463.527,1187582.919
2620840.144,1221058.35
2602852.849,1198296.031
2613455.266,1176988.475
2601291.53,1199193.894
2585985.512,1220141.575
2596993.437,1202989.967
2620337.683,1173632.021
2625409.965,1220529.57
2614680.838,1212377.136
2585669.621,1218036.462
2624487.437,1171252.528
2600933.0,1197342.0
2585060.369,1222147.638
2607969.486,1193870.219
2606584.463,1193133.063
2587309.339,1221417.723
2586568.519,1150584.788
2625759.192,1231561.71
2577815.729,1205290.949
2593275.386,1198380.181
2600501.136,1225068.124
2650840.722,1178111.453
2630943.909,1227768.703
2590470.418,1217468.559
2597413.471,1219759.801
2616467.581,1158864.304
2614788.027,1197749.412
2623413.855,1229285.984
2585788.881,1220478.98
2595440.463,1210564.816
2577341.996,1215601.327
2658816.268,1177448.174
2600781.271,1145231.952
2607403.104,1219926.615
2610549.938,1145892.13
2616957.298,1157179.071
2620246.763,1168855.385
2615948.453,1193960.239
2611743.608,1176979.624
2570320.737,1208751.132
2616301.654,1207432.213
2611818.0,1152750.0
2614810.153,1181406.965
2601124.315,1208192.728
2577056.415,1218219.221
2616930.251,1207391.315
2619098.547,1215644.22
2607182.797,1197721.052
2578428.923,1215710.435
2658802.937,1176139.042
2618073.912,1175353.542
2594344.727,1217348.674
2620980.363,1182705.405
2589645.746,1218216.051
2588140.0,1146815.0
2615141.661,1234496.06
2592474.999,1211601.389
2617573.209,1175925.444
2600128.288,1164928.784
2624741.081,1222160.346
2627478.829,1188245.595
2622547.173,1168069.887
2608456.711,1180715.188
2606346.819,1210646.723
2573657.704,1212781.915
2621252.283,1173699.369
2630075.73,1223628.076
2585214.266,1213581.984
2607882.45,1187232.442
2592211.01,1174762.606
2595868.316,1154456.533
2581541.987,1229820.124
2589183.831,1216843.058
2593185.148,1185050.144
2619491.113,1235547.321
2603495.775,1199662.563
2614219.376,1159375.195
2576340.483,1216006.001
2619010.93,1235155.939
2614233.21,1192741.251
2586103.844,1218296.955
2625240.956,1229257.478
2610447.585,1215526.817
2618301.429,1169832.981
2586737.724,1200213.026
2620253.844,1169142.852
2599327.499,1207576.004
2613788.983,1187492.313
2636337.617,1159921.59
2585573.021,1218206.983
2602492.311,1160949.462
2618965.674,1235138.381
2626045.673,1230581.093
2622599.824,1191351.369
2603142.261,1197503.821
2584417.982,1138911.815
2634888.157,1156516.934
2604673.606,1160531.764
2587081.597,1232046.866
2626440.01,1167412.265
2632457.323,1167861.127
2597658.007,1202662.238
2619555.678,1228474.031
2589560.682,1218108.823
2647082.23,1163920.174
2624764.452,1233697.2
