xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y
98956,Elemoosstrasse 48,3267,Seedorf,BE,2015-09-14,13.5,13.5,maincat_2,subcat_2,plantcat_8,2591086,1207825
99467,Mülimatt 7,3303,Münchringen,BE,2015-09-30,10.66,10.66,maincat_2,subcat_2,plantcat_8,2606163,1210206
99339,Mülimatt 7a,3303,Münchringen,BE,2015-09-30,10.66,10.66,maincat_2,subcat_2,plantcat_8,2606171,1210217
99275,Fansrütistrasse 24,3550,Langnau i. E.,BE,2016-06-17,9,9,maincat_2,subcat_2,plantcat_9,2626980,1199094
99223,Riedweg 1,3054,Schüpfen,BE,2015-10-28,3.85,3.85,maincat_2,subcat_2,plantcat_8,2595283,1210469
99175,Matte 25f,3638,Pohlern,BE,2015-09-21,14.3,14.3,maincat_2,subcat_2,plantcat_8,2607450,1174953
99743,Fiechtenstrasse 27,4950,Huttwil,BE,2016-07-08,7.28,7.28,maincat_2,subcat_2,plantcat_8,2629946,1218175
99187,Hauptstrasse 206,3714,Wengi b. Frutigen,BE,2015-09-29,19.24,19.24,maincat_2,subcat_2,plantcat_9,2617036,1161582
99355,Butzimatt 135,4922,Thunstetten,BE,2017-03-31,14.04,14.04,maincat_2,subcat_2,plantcat_8,2622248,1227556
99298,Hageldorniweg 5,3714,Frutigen,BE,2015-09-18,10.5,10.5,maincat_2,subcat_2,plantcat_9,2615001,1159281
99241,Grüdstrasse 51,3125,Toffen,BE,2015-10-05,15.66,15.66,maincat_2,subcat_2,plantcat_8,2604330,1189394
99153,Oberfeldstrasse 7,3550,Langnau,BE,2016-05-25,29.9,59.28,maincat_2,subcat_2,plantcat_8,2626580,1199057
99151,Asylstrasse 37,3550,Langnau im Emmental,BE,2016-01-09,183.82,299.41,maincat_2,subcat_2,plantcat_8,2627041,1198884
99156,Les Ragies 17,2735,Bevilard,BE,2015-11-09,5.67,5.67,maincat_2,subcat_2,plantcat_8,2588052,1232174
99343,Bodenstrasse 2b & 6,3783,Grund b. Gstaad,BE,2017-08-17,70.11,92.34,maincat_2,subcat_2,plantcat_9,2587636,1145001
99506,Unterdorfstrasse 11a,3322,Urtenen-Schönbühl,BE,2016-02-03,20.35,20.35,maincat_2,subcat_2,plantcat_9,2604983,1208411
99348,Höhenstrasse 6 (Parz. 2741),3714,Frutigen,BE,2015-06-19,9.36,9.36,maincat_2,subcat_2,plantcat_8,2614883,1159378
103279,Brunnengasse 26,3852,Ringgenberg,BE,2015-10-24,15.48,15.48,maincat_2,subcat_2,plantcat_9,2634918,1172288
99099,Hauptstrasse 60,2576,Lüscherz,BE,2015-12-03,7.4,7.4,maincat_2,subcat_2,plantcat_9,2577989,1210628
99184,Dorfgasse 65a,4900,Langenthal,BE,2015-07-29,3.85,3.85,maincat_2,subcat_2,plantcat_8,2625523,1228764
99188,Quellenweg 21,3652,Hilterfingen,BE,2015-09-28,5.04,5.04,maincat_2,subcat_2,plantcat_8,2617176,1176233
99080,Käsereiweg 5,3273,Kappelen,BE,2015-07-17,10.26,10.26,maincat_2,subcat_2,plantcat_8,2587056,1212416
99178,Route du Vignoble 21,2520,La Neuveville,BE,2015-09-17,5.2,5.2,maincat_2,subcat_2,plantcat_8,2574878,1213515
99063,Leuernweg 33,3250,Lyss,BE,2015-09-30,8.12,8.12,maincat_2,subcat_2,plantcat_8,2590731,1213593
99404,Bühlbergstrasse 125,3775,Lenk,BE,2015-09-30,12.32,12.32,maincat_2,subcat_2,plantcat_8,2601907,1144739
99939,Zuzwilstrasse 42,3303,Jegenstorf,BE,2016-01-26,20.28,20.28,maincat_2,subcat_2,plantcat_9,2604524,1210883
99388,Clos Devant 16,2748,Souboz,BE,2015-09-03,5.13,5.13,maincat_2,subcat_2,plantcat_9,2585072,1235893
99475,Trimacht 14,3255,Rapperswil,BE,2016-02-05,11.69,11.69,maincat_2,subcat_2,plantcat_9,2597605,1212371
99466,Uttigenstrasse 126,3603,Thun,BE,2015-12-07,46.28,85.76,maincat_2,subcat_2,plantcat_8,2612540,1179854
99240,Lindentalstrasse 3 + 5,3067,Boll,BE,2015-09-30,10.55,31.7,maincat_2,subcat_2,plantcat_8,2608393,1200412
99478,Mätteliweg 9,3714,Frutigen,BE,2015-10-20,3.99,3.99,maincat_2,subcat_2,plantcat_8,2615298,1159334
99098,Bernstrasse 54A,3267,Seedorf,BE,2015-09-29,3.3,3.3,maincat_2,subcat_2,plantcat_8,2590271,1209403
99880,Düttisbergweg 13,3400,Burgdorf,BE,2015-10-23,13.08,13.08,maincat_2,subcat_2,plantcat_8,2614088,1213129
99485,Habermattweg 8,3664,Burgistein,BE,2015-09-18,8.1,8.1,maincat_2,subcat_2,plantcat_8,2605779,1182060
99324,Weyermattstrasse 9C,3360,Herzogenbuchsee,BE,2015-10-23,13.16,13.16,maincat_2,subcat_2,plantcat_8,2620546,1226451
99448,Leimenstrasse 93,2575,Täuffelen,BE,2016-08-26,29.93,199.51,maincat_2,subcat_2,plantcat_8,2581366,1212230
99312,Lagerhausweg 12a,3018,Bern,BE,2017-03-28,17.28,17.28,maincat_2,subcat_2,plantcat_8,2596563,1198456
99425,Obere Halde 1225d (Parz. 501),3452,Grünenmatt,BE,2015-09-10,22.88,22.88,maincat_2,subcat_2,plantcat_8,2622438,1206278
99598,Fluracker 26a (Parzelle 6596),3065,Bolligen,BE,2015-09-17,3.28,3.28,maincat_2,subcat_2,plantcat_8,2604706,1202952
99504,Nelkenweg 25,4914,Roggwil,BE,2015-12-19,9.9,39.57,maincat_2,subcat_2,plantcat_9,2628261,1231875
99456,Untere Zulgstrasse 10,3613,Steffisburg,BE,2016-02-23,7,7,maincat_2,subcat_2,plantcat_8,2613364,1180352
99397,Rainweg 2A,3314,Schalunen,BE,2015-12-15,7.8,7.8,maincat_2,subcat_2,plantcat_8,2606760,1217770
99525,Eichhölzliweg 16,3672,Oberdiessbach,BE,2015-09-15,8.75,8.75,maincat_2,subcat_2,plantcat_8,2612948,1187475
99566,Tellenfeldstrasse 11,3714,Frutigen,BE,2015-12-23,5.4,5.4,maincat_2,subcat_2,plantcat_9,2616372,1158672
99528,Alpenweg 4,2552,Orpund,BE,2015-09-24,10.25,10.25,maincat_2,subcat_2,plantcat_8,2589965,1221144
