x,y
2597266,1212640
2599504,1209886
2595785,1209981
2595433,1209939
2595268,1209758
2594964,1209816
2594125,1209540
2595037,1207876
2595332,1209234
2597221,1209518
2598835,1209035
2595176,1210316
2595283,1210469
2595334,1210470
2594414,1210600
2594397,1210533
2594405,1210685
2591967,1209701
2592809,1209109
2594319,1210849
2594329,1210349
2596103,1210979
2595230,1209307
2595807,1210396
2595841,1210386
2594995,1209805
2594935,1210565
2592854,1208996
2596191,1210182
2594206,1210509
2595303,1209770
2594999,1210545
2593155,1209804
2595846,1209386
2597297,1209535
2590523,1209280
2590725,1209473
2590565,1209406
2590434,1208973
2590537,1208853
2590482,1208975
2589237,1209682
2589325,1209526
2589560,1209934
2589631,1209917
2591057,1210903
2591686,1212025
2591494,1210146
2591453,1210268
2591403,1210396
2591185,1210306
2590714,1210581
2590640,1210408
2590116,1211188
2591195,1208543
2590792,1207874
2590789,1207879
2591489,1207960
2589436,1207832
2588812,1208518
2589006,1208001
2588556,1208111
2589974,1207350
2588377,1204910
2588130,1204900
2588534,1205289
2589692,1209845
2589126,1208247
2591395,1211689
2590479,1209006
2589623,1209978
2590971,1208531
2589566,1208713
2590210,1209560
2590242,1209553
2589553,1209802
2590200,1209499
2590866,1208695
2590944,1210730
2590583,1209074
2588473,1204842
2590825,1210199
2589408,1208331
2590610,1209363
2588148,1204932
2589269,1208053
2590614,1209414
2589195,1208172
2589073,1209638
2589192,1208341
2624222,1233007
2624734,1232549
2624822,1231953
2624740,1231843
2624973,1231936
2624985,1231827
2625022,1231173
2625000,1231148
2625293,1231602
2625639,1231475
2625685,1231381
2625655,1231564
2625726,1231567
2625514,1231278
2626006,1231571
2625567,1231559
2625838,1231681
2626149,1232045
2626326,1232028
2625454,1231889
2625540,1232153
2625375,1232016
2625282,1232057
2626354,1231941
2625747,1231839
2625936,1231885
2625403,1231975
2625366,1231985
2624731,1232754
2625793,1231438
2625791,1231999
2624932,1231913
2623016,1230351
2625797,1231816
2625164,1231091
2625304,1231688
2624920,1232730
2624921,1231643
2625274,1231971
2625201,1231637
2625681,1231994
2624584,1231682
2625282,1231036
2625935,1231552
2629580,1220218
2630825,1221362
2630621,1220452
2630730,1221176
2622240,1231973
2622042,1231967
2622128,1231384
2622474,1231983
2622666,1232404
2622695,1232441
2622509,1231920
2622262,1231780
2624498,1226374
2624149,1225973
2624171,1225655
2623893,1226024
2623882,1225859
2623628,1225631
2624042,1225974
2623954,1225957
2624227,1225896
2629866,1226163
2629415,1226085
2629188,1226288
2629892,1226173
2632390,1222348
2632927,1221505
2632933,1222002
2633127,1221414
2631709,1220059
2633676,1219954
2625238,1229591
2625932,1230270
2626156,1229987
2626185,1230070
2626103,1230311
2626037,1230393
2626349,1230276
2626371,1230325
2626456,1230541
2626280,1230210
2626331,1230290
2626348,1230369
2626505,1229495
2626505,1230129
2626614,1230053
2626573,1229902
2626646,1229518
2626585,1229466
2627315,1229431
2627223,1229436
2627252,1229540
2626952,1229306
2627264,1229359
2627112,1229612
2627104,1229528
2627075,1229498
2627364,1229246
2627328,1229127
2627096,1229215
2627168,1229015
2627233,1229095
2627253,1229284
2626832,1228807
2626826,1228779
2626989,1228275
2627027,1228722
2627017,1228761
2627036,1228666
2627073,1228059
2626963,1228057
2627064,1228880
2626925,1228698
2627089,1228322
2626578,1228635
2626710,1228886
2626535,1228450
2625891,1229059
2625880,1228740
2625872,1228739
2625987,1228437
2626071,1228799
2626068,1228666
2626352,1227878
2626192,1228595
2626332,1228032
2625753,1228714
2625858,1227783
2625849,1227729
2625718,1227996
2625739,1227980
2625707,1227927
2625524,1227843
2625428,1228571
2625378,1229598
2627190,1229587
2626247,1229172
2626186,1229812
2625808,1230168
2625779,1230145
